class_idx,voxel,bootstraps,betas,hemi,vroinames,eccentricity,angle,size,local_ori,local_sf,sigma_v,sigma_v_squared
0,85,1,3.8866668,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,1.6570193621046152,0.3190111680428096,1.394785708375275,2.115149268566293
1,85,1,0.43333334,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,1.6570193621046152,0.5848538080784844,1.394785708375275,2.115149268566293
2,85,1,-0.18333334,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,1.6570193621046152,1.0633705601426988,1.394785708375275,2.115149268566293
3,85,1,1.65,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,1.6570193621046152,1.9672355362639928,1.394785708375275,2.115149268566293
4,85,1,3.4066668,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,1.6570193621046152,3.6686284324923113,1.394785708375275,2.115149268566293
5,85,1,-0.47,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,1.6570193621046152,6.805571584913272,1.394785708375275,2.115149268566293
6,85,1,3.15,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.8716211987071669,0.3007666135964159,1.394785708375275,2.115149268566293
7,85,1,2.08,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.8716211987071669,0.5263415737937279,1.394785708375275,2.115149268566293
8,85,1,1.47,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.8716211987071669,1.0526831475874558,1.394785708375275,2.115149268566293
9,85,1,3.0166667,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.8716211987071669,1.9549829883767036,1.394785708375275,2.115149268566293
10,85,1,-3.01,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.8716211987071669,3.684391016556096,1.394785708375275,2.115149268566293
11,85,1,-0.56333333,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.8716211987071669,6.842440459318461,1.394785708375275,2.115149268566293
12,85,1,-3.48,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.0862230353097186,0.3190111680428096,1.394785708375275,2.115149268566293
13,85,1,4.16,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.0862230353097186,0.5848538080784844,1.394785708375275,2.115149268566293
14,85,1,-2.2933333,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.0862230353097186,1.0633705601426988,1.394785708375275,2.115149268566293
15,85,1,2.09,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.0862230353097186,1.9672355362639928,1.394785708375275,2.115149268566293
16,85,1,0.37666667,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.0862230353097186,3.6686284324923113,1.394785708375275,2.115149268566293
17,85,1,2.07,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.0862230353097186,6.805571584913272,1.394785708375275,2.115149268566293
18,85,1,1.4433334,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,2.4424175255020635,0.3007666135964159,1.394785708375275,2.115149268566293
19,85,1,2.71,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,2.4424175255020635,0.5263415737937279,1.394785708375275,2.115149268566293
20,85,1,-0.38,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,2.4424175255020635,1.0526831475874558,1.394785708375275,2.115149268566293
21,85,1,0.91333336,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,2.4424175255020635,1.9549829883767036,1.394785708375275,2.115149268566293
22,85,1,0.63666666,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,2.4424175255020635,3.684391016556096,1.394785708375275,2.115149268566293
23,85,1,-1.71,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,2.4424175255020635,6.842440459318461,1.394785708375275,2.115149268566293
24,85,1,-1.28,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,1.2664123184069285,1.9549829883767036,1.394785708375275,2.115149268566293
25,85,1,0.123333335,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,0.4768300790074055,1.9549829883767036,1.394785708375275,2.115149268566293
26,85,1,0.56333333,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,2.837208645201825,1.9549829883767036,1.394785708375275,2.115149268566293
27,85,1,-0.73,lh,V1,2.993405103683472,4.940216020054352,0.0997345149517059,2.047626405802302,1.9549829883767036,1.394785708375275,2.115149268566293
0,106,1,2.2166667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,1.6526064905433209,0.3207526245381251,1.1227619067818992,1.436048281383318
1,106,1,2.9,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,1.6526064905433209,0.588046478319896,1.1227619067818992,1.436048281383318
2,106,1,0.123333335,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,1.6526064905433209,1.0691754151270838,1.1227619067818992,1.436048281383318
3,106,1,-0.5833333,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,1.6526064905433209,1.977974517985105,1.1227619067818992,1.436048281383318
4,106,1,2.91,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,1.6526064905433209,3.688655182188439,1.1227619067818992,1.436048281383318
5,106,1,0.123333335,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,1.6526064905433209,6.842722656813336,1.1227619067818992,1.436048281383318
6,106,1,4.1066666,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.8672083271458727,0.3024084745257211,1.1227619067818992,1.436048281383318
7,106,1,1.6233333,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.8672083271458727,0.529214830420012,1.1227619067818992,1.436048281383318
8,106,1,-0.7966667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.8672083271458727,1.058429660840024,1.1227619067818992,1.436048281383318
9,106,1,2.04,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.8672083271458727,1.965655084417188,1.1227619067818992,1.436048281383318
10,106,1,0.57666665,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.8672083271458727,3.704503812940085,1.1227619067818992,1.436048281383318
11,106,1,1.3266667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.8672083271458727,6.8797927954601565,1.1227619067818992,1.436048281383318
12,106,1,0.046666667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,0.3207526245381251,1.1227619067818992,1.436048281383318
13,106,1,1.7666667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,0.588046478319896,1.1227619067818992,1.436048281383318
14,106,1,-1.35,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,1.0691754151270838,1.1227619067818992,1.436048281383318
15,106,1,3.0466666,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,1.977974517985105,1.1227619067818992,1.436048281383318
16,106,1,2.3,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,3.688655182188439,1.1227619067818992,1.436048281383318
17,106,1,3.8533332,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,6.842722656813336,1.1227619067818992,1.436048281383318
18,106,1,-6.3333335,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,0.3024084745257211,1.1227619067818992,1.436048281383318
19,106,1,3.27,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,0.529214830420012,1.1227619067818992,1.436048281383318
20,106,1,1.66,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,1.058429660840024,1.1227619067818992,1.436048281383318
21,106,1,1.3566667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,1.965655084417188,1.1227619067818992,1.436048281383318
22,106,1,2.21,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,3.704503812940085,1.1227619067818992,1.436048281383318
23,106,1,0.92,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,6.8797927954601565,1.1227619067818992,1.436048281383318
24,106,1,1.2566667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,1.261999446845634,1.965655084417188,1.1227619067818992,1.436048281383318
25,106,1,2.3466666,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.4724172074461111,1.965655084417188,1.1227619067818992,1.436048281383318
26,106,1,1.99,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.8327957736405307,1.965655084417188,1.1227619067818992,1.436048281383318
27,106,1,-0.84,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.043213534241008,1.965655084417188,1.1227619067818992,1.436048281383318
